일자,평균기압(hPa),평균 상대습도(%),평균 기온(°C),평균 수온(°C),평균 유의 파고(m),갈치(상) 어획량,갈치(중) 어획량,갈치(하) 어획량,고등어(상) 어획량,고등어(중) 어획량,고등어(하) 어획량,갈고등어 어획량,갑오징어 어획량,오징어A 어획량,갈치(상) 단가,갈치(중) 단가,갈치(하) 단가,고등어(상) 단가,고등어(중) 단가,고등어(하) 단가,갈고등어 단가,갑오징어 단가,오징어A 단가
2021-12-02,1020.1,54.0,6.9,17.0,1.1,4410.0,468.0,5382.0,1368.0,11106.0,33318.0,260166.0,180.0,38.0,10328.0,4863.0,1753.0,6886.0,5006.0,4159.0,1200.0,7667.0,5132.0
2021-12-03,1017.2,56.0,11.1,17.8,1.0,5364.0,0.0,6480.0,0.0,0.0,0.0,540.0,270.0,0.0,10773.0,0.0,1544.0,0.0,0.0,0.0,1462.0,8989.0,0.0
2021-12-04,1025.3,50.0,9.0,17.6,0.8,18.0,0.0,18.0,8244.0,17100.0,70524.0,14796.0,36.0,0.0,5556.0,0.0,1500.0,7154.0,5934.0,4633.0,2949.0,2222.0,0.0
2021-12-06,1025.2,73.0,13.9,16.0,0.6,22770.0,2502.0,12438.0,3870.0,30834.0,110142.0,56358.0,1692.0,674.0,7406.0,3599.0,2131.0,6634.0,5630.0,4541.0,2524.0,9647.0,8185.0
2021-12-07,1026.0,69.0,13.3,15.3,1.0,3456.0,1548.0,4086.0,3780.0,23094.0,74988.0,266220.0,1494.0,1368.0,13157.0,4438.0,1883.0,7358.0,6037.0,4586.0,1343.0,10246.0,6723.0
2021-12-08,1030.5,65.0,12.9,17.1,1.8,1836.0,1944.0,36.0,2682.0,16326.0,70668.0,392484.0,1206.0,100.0,7898.0,4424.0,1028.0,6726.0,5129.0,4386.0,1059.0,9227.0,5900.0
2021-12-10,1024.2,75.0,14.3,16.7,0.7,3330.0,0.0,2736.0,3042.0,12006.0,44946.0,684114.0,324.0,0.0,11979.0,0.0,1833.0,5610.0,4973.0,4172.0,894.0,7269.0,0.0
2021-12-11,1023.9,69.0,13.2,17.0,0.5,1386.0,252.0,216.0,3258.0,15444.0,49014.0,947850.0,1836.0,1460.0,13740.0,3869.0,1343.0,4614.0,4477.0,3651.0,831.0,9071.0,5134.0
2021-12-12,1021.6,58.0,11.3,17.8,0.7,18.0,0.0,54.0,2934.0,12528.0,79002.0,1519734.0,0.0,1060.0,11111.0,0.0,1537.0,5391.0,4386.0,3967.0,779.0,0.0,4168.0
2021-12-13,1024.6,48.0,5.8,17.4,1.2,16902.0,2664.0,16416.0,1440.0,9432.0,60948.0,1226316.0,2394.0,340.0,11859.0,4922.0,1728.0,6842.0,4650.0,3777.0,775.0,7958.0,5644.0
2021-12-14,1022.2,56.0,7.7,17.9,0.8,3420.0,3240.0,2952.0,324.0,8388.0,60408.0,888276.0,648.0,0.0,11954.0,4000.0,1222.0,6605.0,4941.0,3992.0,775.0,8606.0,0.0
2021-12-15,1021.5,67.0,13.3,19.1,0.6,0.0,0.0,0.0,1404.0,7272.0,60822.0,918342.0,1116.0,0.0,0.0,0.0,0.0,8298.0,5195.0,4098.0,774.0,7938.0,0.0
2021-12-16,1017.5,74.0,12.2,17.8,0.5,90.0,520.0,2260.0,684.0,14004.0,43200.0,941604.0,3690.0,90.0,17778.0,7787.0,1501.0,10497.0,5030.0,4003.0,763.0,9579.0,5467.0
2021-12-17,1018.9,53.0,6.1,16.7,1.3,12240.0,6372.0,11232.0,1476.0,19008.0,46350.0,1120026.0,954.0,162.0,12133.0,4176.0,1179.0,7249.0,5032.0,4029.0,740.0,6426.0,4475.0
2021-12-18,1025.4,51.0,2.2,16.3,1.5,0.0,36.0,18.0,666.0,3636.0,26820.0,807156.0,2682.0,0.0,0.0,3194.0,1111.0,7288.0,6097.0,4409.0,684.0,7824.0,0.0
2021-12-20,1019.4,60.0,11.7,16.1,0.9,5850.0,1476.0,7506.0,486.0,5868.0,43542.0,663270.0,9162.0,36.0,11874.0,3624.0,1228.0,7572.0,6960.0,4802.0,727.0,8123.0,5556.0
2021-12-21,1016.4,64.0,13.6,16.3,1.0,0.0,0.0,36.0,0.0,0.0,0.0,80040.0,324.0,0.0,0.0,0.0,1111.0,0.0,0.0,0.0,761.0,9660.0,0.0
2021-12-22,1020.8,44.0,12.1,15.9,0.7,0.0,18.0,36.0,0.0,0.0,0.0,0.0,3024.0,18.0,0.0,3889.0,1861.0,0.0,0.0,0.0,0.0,9428.0,6944.0
2021-12-23,1022.8,42.0,11.5,15.5,0.9,126.0,0.0,234.0,0.0,0.0,0.0,0.0,18.0,90.0,7381.0,0.0,1808.0,0.0,0.0,0.0,0.0,5556.0,5722.0
2021-12-24,1018.9,60.0,10.6,15.1,1.0,4122.0,1872.0,11862.0,1620.0,14346.0,58230.0,692442.0,1656.0,306.0,10250.0,4665.0,2279.0,9728.0,5798.0,4448.0,875.0,8091.0,5948.0
2021-12-25,1025.4,51.0,1.9,15.0,1.5,594.0,864.0,5184.0,1458.0,6876.0,58176.0,965922.0,3114.0,54.0,10631.0,5463.0,1308.0,8145.0,4992.0,3977.0,726.0,8544.0,4926.0
2021-12-26,1030.7,50.0,-1.2,14.9,1.5,0.0,0.0,0.0,1548.0,15390.0,91926.0,1356990.0,0.0,0.0,0.0,0.0,0.0,6957.0,4856.0,3607.0,650.0,0.0,0.0
2021-12-27,1029.6,53.0,1.8,15.3,1.5,6642.0,2862.0,8424.0,504.0,6678.0,49374.0,659082.0,3006.0,20.0,9763.0,4698.0,1380.0,6460.0,5177.0,3669.0,819.0,6256.0,2000.0
2021-12-28,1027.0,58.0,7.2,15.1,1.1,0.0,0.0,0.0,918.0,4248.0,29664.0,372870.0,360.0,0.0,0.0,0.0,0.0,5980.0,4649.0,3325.0,856.0,8542.0,0.0
2021-12-30,1022.3,51.0,5.5,14.4,1.2,3816.0,2880.0,5454.0,2124.0,16434.0,56718.0,1336368.0,1260.0,144.0,10338.0,3778.0,1419.0,7445.0,4910.0,3875.0,761.0,5906.0,5431.0
2022-01-03,1024.0,44.0,7.4,15.5,0.7,2610.0,18.0,4932.0,720.0,5958.0,48960.0,1310784.0,450.0,270.0,8362.0,2889.0,1528.0,11000.0,6790.0,4216.0,798.0,8911.0,5711.0
2022-01-04,1025.3,50.0,7.9,15.9,0.6,18.0,0.0,0.0,2016.0,12942.0,54648.0,881268.0,792.0,108.0,5556.0,0.0,0.0,8716.0,5355.0,3822.0,833.0,10423.0,5602.0
